DATE,VALUE
1948-01-01,10.24
1948-02-01,9.48
1948-03-01,6.82
1948-04-01,8.27
1948-05-01,9.38
1948-06-01,9.38
1948-07-01,9.76
1948-08-01,9.06
1948-09-01,6.65
1948-10-01,6.11
1948-11-01,4.77
1948-12-01,2.73
1949-01-01,1.39
1949-02-01,1.01
1949-03-01,1.74
1949-04-01,0.42
1949-05-01,-0.42
1949-06-01,-0.95
1949-07-01,-2.87
1949-08-01,-2.99
1949-09-01,-2.5
1949-10-01,-2.63
1949-11-01,-1.9
1949-12-01,-1.83
1950-01-01,-2.08
1950-02-01,-1.25
1950-03-01,-1.13
1950-04-01,-1.13
1950-05-01,-0.59
1950-06-01,-0.17
1950-07-01,1.56
1950-08-01,2.11
1950-09-01,2.48
1950-10-01,3.51
1950-11-01,3.8
1950-12-01,5.8
1951-01-01,7.95
1951-02-01,9.4
1951-03-01,9.48
1951-04-01,9.6
1951-05-01,9.34
1951-06-01,8.58
1951-07-01,7.64
1951-08-01,6.86
1951-09-01,6.94
1951-10-01,6.78
1951-11-01,6.99
1951-12-01,5.96
1952-01-01,4.22
1952-02-01,2.25
1952-03-01,1.97
1952-04-01,2.08
1952-05-01,1.85
1952-06-01,2.31
1952-07-01,2.97
1952-08-01,3.21
1952-09-01,2.31
1952-10-01,2.03
1952-11-01,1.41
1952-12-01,0.91
1953-01-01,0.72
1953-02-01,0.68
1953-03-01,0.91
1953-04-01,0.87
1953-05-01,0.87
1953-06-01,0.9
1953-07-01,0.41
1953-08-01,0.6
1953-09-01,0.98
1953-10-01,0.97
1953-11-01,0.6
1953-12-01,0.6
1954-01-01,1.13
1954-02-01,1.5
1954-03-01,1.13
1954-04-01,0.64
1954-05-01,0.86
1954-06-01,0.64
1954-07-01,0.26
1954-08-01,0
1954-09-01,-0.3
1954-10-01,-0.85
1954-11-01,-0.26
1954-12-01,-0.37
1955-01-01,-0.63
1955-02-01,-0.63
1955-03-01,-0.52
1955-04-01,-0.26
1955-05-01,-0.59
1955-06-01,-0.85
1955-07-01,-0.37
1955-08-01,-0.48
1955-09-01,0.15
1955-10-01,0.37
1955-11-01,0.37
1955-12-01,0.37
1956-01-01,0.22
1956-02-01,0.15
1956-03-01,0.37
1956-04-01,0.52
1956-05-01,0.97
1956-06-01,1.65
1956-07-01,1.98
1956-08-01,2.21
1956-09-01,1.86
1956-10-01,2.57
1956-11-01,2.34
1956-12-01,2.83
1957-01-01,3.13
1957-02-01,3.5
1957-03-01,3.61
1957-04-01,3.71
1957-05-01,3.59
1957-06-01,3.54
1957-07-01,3.3
1957-08-01,3.55
1957-09-01,3.55
1957-10-01,2.94
1957-11-01,3.27
1957-12-01,3.04
1958-01-01,3.51
1958-02-01,3.24
1958-03-01,3.63
1958-04-01,3.62
1958-05-01,3.36
1958-06-01,2.85
1958-07-01,2.48
1958-08-01,2.33
1958-09-01,2.08
1958-10-01,2.08
1958-11-01,1.9
1958-12-01,1.76
1959-01-01,1.29
1959-02-01,1.05
1959-03-01,0.35
1959-04-01,0.14
1959-05-01,0.35
1959-06-01,0.69
1959-07-01,0.9
1959-08-01,0.83
1959-09-01,1.18
1959-10-01,1.52
1959-11-01,1.38
1959-12-01,1.52
1960-01-01,1.24
1960-02-01,1.41
1960-03-01,1.52
1960-04-01,1.93
1960-05-01,1.83
1960-06-01,1.72
1960-07-01,1.37
1960-08-01,1.47
1960-09-01,1.23
1960-10-01,1.36
1960-11-01,1.47
1960-12-01,1.36
1961-01-01,1.6
1961-02-01,1.46
1961-03-01,1.46
1961-04-01,0.91
1961-05-01,0.91
1961-06-01,0.78
1961-07-01,1.25
1961-08-01,1.11
1961-09-01,1.25
1961-10-01,0.77
1961-11-01,0.67
1961-12-01,0.67
1962-01-01,0.67
1962-02-01,0.9
1962-03-01,1.11
1962-04-01,1.34
1962-05-01,1.34
1962-06-01,1.24
1962-07-01,1
1962-08-01,1.14
1962-09-01,1.47
1962-10-01,1.33
1962-11-01,1.33
1962-12-01,1.23
1963-01-01,1.33
1963-02-01,1.23
1963-03-01,1.13
1963-04-01,0.89
1963-05-01,0.89
1963-06-01,1.32
1963-07-01,1.56
1963-08-01,1.55
1963-09-01,0.99
1963-10-01,1.22
1963-11-01,1.32
1963-12-01,1.65
1964-01-01,1.64
1964-02-01,1.41
1964-03-01,1.41
1964-04-01,1.54
1964-05-01,1.54
1964-06-01,1.31
1964-07-01,1.08
1964-08-01,0.98
1964-09-01,1.17
1964-10-01,1.2
1964-11-01,1.4
1964-12-01,1.2
1965-01-01,1.1
1965-02-01,1.2
1965-03-01,1.2
1965-04-01,1.39
1965-05-01,1.61
1965-06-01,1.93
1965-07-01,1.81
1965-08-01,1.61
1965-09-01,1.74
1965-10-01,1.7
1965-11-01,1.73
1965-12-01,1.92
1966-01-01,1.92
1966-02-01,2.56
1966-03-01,2.78
1966-04-01,2.87
1966-05-01,2.76
1966-06-01,2.44
1966-07-01,2.75
1966-08-01,3.49
1966-09-01,3.57
1966-10-01,3.79
1966-11-01,3.56
1966-12-01,3.36
1967-01-01,3.2
1967-02-01,2.87
1967-03-01,2.55
1967-04-01,2.54
1967-05-01,2.32
1967-06-01,2.84
1967-07-01,2.93
1967-08-01,2.6
1967-09-01,2.6
1967-10-01,2.59
1967-11-01,3.1
1967-12-01,3.28
1968-01-01,3.65
1968-02-01,3.64
1968-03-01,3.94
1968-04-01,3.93
1968-05-01,4.23
1968-06-01,4.2
1968-07-01,4.49
1968-08-01,4.48
1968-09-01,4.46
1968-10-01,4.75
1968-11-01,4.42
1968-12-01,4.71
1969-01-01,4.69
1969-02-01,4.68
1969-03-01,5.25
1969-04-01,5.52
1969-05-01,5.51
1969-06-01,5.48
1969-07-01,5.44
1969-08-01,5.43
1969-09-01,5.7
1969-10-01,5.67
1969-11-01,5.93
1969-12-01,5.9
1970-01-01,6.16
1970-02-01,6.42
1970-03-01,6.09
1970-04-01,6.06
1970-05-01,6.04
1970-06-01,6.01
1970-07-01,5.71
1970-08-01,5.69
1970-09-01,5.66
1970-10-01,5.63
1970-11-01,5.6
1970-12-01,5.57
1971-01-01,5.28
1971-02-01,4.72
1971-03-01,4.44
1971-04-01,4.16
1971-05-01,4.4
1971-06-01,4.38
1971-07-01,4.37
